country,year,consumption
Myanmar,1998,24.3
Myanmar,1999,23.4
Myanmar,2000,22.4
Myanmar,2001,21.2
Myanmar,2002,19.9
Myanmar,2003,18.6
Myanmar,2004,17.4
Myanmar,2005,16.2
Myanmar,2006,15.1
Myanmar,2007,14
Myanmar,2008,13
Myanmar,2009,12.2
Myanmar,2010,11.4
Myanmar,2011,10.7
Myanmar,2012,10
Cambodia,1980,12.8
Cambodia,1981,12.7
Cambodia,1982,12.6
Cambodia,1983,12.5
Cambodia,1984,12.3
Cambodia,1985,12.1
Cambodia,1986,11.8
Cambodia,1987,11.6
Cambodia,1988,11.4
Cambodia,1989,11.3
Cambodia,1990,11.1
Cambodia,1991,10.9
Cambodia,1992,10.8
Cambodia,1993,10.7
Cambodia,1994,10.6
Cambodia,1995,10.5
Cambodia,1996,10.4
Cambodia,1997,10.3
Cambodia,1998,10.3
Cambodia,1999,10.2
Cambodia,2000,10.1
Cambodia,2001,10.1
Cambodia,2002,10
Cambodia,2003,9.9
Cambodia,2004,9.9
Cambodia,2005,10
Cambodia,2006,10
Cambodia,2007,10.1
Cambodia,2008,10.2
Cambodia,2009,10.3
Cambodia,2010,10.4
Cambodia,2011,10.4
Cambodia,2012,10.4
Laos,1980,17
Laos,1981,17
Laos,1982,16.9
Laos,1983,16.9
Laos,1984,16.9
Laos,1985,16.8
Laos,1986,16.7
Laos,1987,16.7
Laos,1988,16.7
Laos,1989,16.6
Laos,1990,16.6
Laos,1991,16.5
Laos,1992,16.5
Laos,1993,16.4
Laos,1994,16.3
Laos,1995,16.1
Laos,1996,16
Laos,1997,15.9
Laos,1998,15.8
Laos,1999,15.8
Laos,2000,15.8
Laos,2001,15.7
Laos,2002,15.7
Laos,2003,15.6
Laos,2004,15.6
Laos,2005,15.5
Laos,2006,15.3
Laos,2007,14.9
Laos,2008,14.5
Laos,2009,14
Laos,2010,13.5
Laos,2011,13
Laos,2012,12.4
