population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1993,0.12310637610472357,0.1866031316203695,0.062154442661790155
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1993,1.64278440290086,2.7976833953420104,0.7640568351963325
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1994,339.3892913306815,568.7421709740019,159.019465708582
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1994,0.12324655314634828,0.1864514191725592,0.062394478646141
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1994,1.693788938688449,2.8384195458388977,0.7936178864020448
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,1,Number,1993,690.1381800926845,971.9969246522971,433.31341460279964
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,2,Percent,1993,0.057392333298997684,0.0772009805103677,0.038671360433560606
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,3,Rate,1993,3.5562204566222797,5.008613415299267,2.2328253581512874
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,1,Number,1993,1368.600458877216,1851.087184510427,1012.4325103340763
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,2,Percent,1993,0.08578552122194125,0.1081318660329718,0.06622552766594621
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,1993,7.052276035718168,9.538487077563577,5.2169743799943875
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,1,Number,1993,50.44252303449222,79.6552079061897,27.00147886005912
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,2,Percent,1993,0.06967434995188537,0.09143200388734041,0.05220219428340639
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,3,Rate,1993,0.25992581989133023,0.4104561782025296,0.13913621105312626
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,1,Number,1993,126.87822108343747,207.6437689450254,66.27645246510762
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,2,Percent,1993,0.05643063757571886,0.08098183519802278,0.03446899305021648
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,3,Rate,1993,0.6537921510967084,1.069969812006748,0.3415166452856099
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,1,Number,1992,1043.8027723911305,1578.6729528981773,710.4928804073702
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,2,Percent,1992,0.12031245039978435,0.15817526475135119,0.08411180618832081
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,3,Rate,1992,5.551731361753067,8.39657488404522,3.7789376602477645
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,1,Number,1994,131.60590835166263,210.5415100018551,68.63322313346225
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,2,Percent,1994,0.05629940514327892,0.0808423848993986,0.03455574612580545
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,3,Rate,1994,0.6568051424312571,1.0507487710578418,0.3425275845157028
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,1994,243.62819609320127,320.3928436568626,177.56110452818942
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,1994,0.11172628235032227,0.13525931958306772,0.08742127543312479
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1994,1.2158743785855564,1.5989834343128317,0.8861535778337682
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,1,Number,1992,0.011906703984736675,0.04054452236825504,0.0018832336660233786
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,2,Percent,1992,0.01005456453860612,0.02315433783878184,0.004588213447689565
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,3,Rate,1992,6.332884303013036e-05,0.00021564638678196036,1.0016458742699574e-05
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,1993,228.4489977319108,303.7167856682081,167.18135648486688
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,1993,0.11143915027871512,0.13506475094085016,0.08712249842051861
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1993,1.1771772993634002,1.5650254939783095,0.8614706113165627
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,1995,261.4521621773987,344.23845242445276,188.31431517242953
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,1995,0.11178205945823959,0.13467476651046287,0.08765449570515198
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1995,1.2638375270735727,1.6640194168314406,0.9102953917764566
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,1997,293.30885411789836,375.94206988047745,210.41909783163004
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,1997,0.11285407366119846,0.13562970469439428,0.08934647905424983
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1997,1.3321929601663434,1.7075085593011907,0.9557121678405721
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,1998,318.51668137090957,408.0344231464714,234.47760025714678
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,1998,0.1133222784869679,0.13535557460233563,0.08991330894210274
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1998,1.4043675882280482,1.7990590517328187,1.0338320132852679
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1995,367.6699555019106,600.9956713120423,179.1055373156757
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1995,0.12360713328518048,0.18595658695695738,0.06273956112585408
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1995,1.7772853108994264,2.905161987138441,0.8657809424143859
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1997,403.7317791701907,652.7191371977691,197.2338472595594
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1997,0.12476803154559166,0.18597089509843595,0.06419974935431916
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1997,1.8337279166818725,2.964615037468984,0.895825472490144
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1998,429.2521155397979,694.314520225207,213.22096195343528
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1998,0.12539032645490092,0.18542952155083667,0.06442694642790535
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1998,1.8926096920507167,3.0612927525291083,0.9401096570810832
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,1,Number,1994,711.513598361653,1004.1570025781866,443.5390831603299
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,2,Percent,1994,0.057499694581139245,0.07756861227338267,0.03881629096376271
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,3,Rate,1994,3.550948404724856,5.011442809538409,2.2135689372738523
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,2000,368.89385258974454,471.39874437282725,271.9800429809234
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,2000,0.11406075492709201,0.13631151074941136,0.09079393860090232
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,2000,1.53870524466132,1.966266759939483,1.134464875573241
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,1,Number,1993,1059.772363906609,1598.7488933285358,723.9372759507547
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,2,Percent,1993,0.11981619393075828,0.15817895834165802,0.08464744432200055
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,3,Rate,1993,5.4609124210190645,8.238210380845198,3.7303841814717913
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,1,Number,1994,52.84963947986053,82.17227271892598,27.907599255903197
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,2,Percent,1994,0.06962512472024701,0.09141943008820452,0.051940642855740835
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,3,Rate,1994,0.2637565092689996,0.41009687150852353,0.1392783571327889
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,1,Number,1997,752.4098880309949,1040.8299244484342,483.6902334751838
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,2,Percent,1997,0.05821374163230243,0.07897646224736124,0.03887367744864795
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,3,Rate,1997,3.4174050388248136,4.7273932532678336,2.1968948938644886
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,1,Number,1995,1092.493723826511,1597.8625957605188,755.8300414886953
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,2,Percent,1995,0.11855365391801777,0.1564935615937523,0.0828957794896701
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,3,Rate,1995,5.2810217929177075,7.723931960674011,3.653618170787364
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,1,Number,1993,89.9321717123921,135.00056012388967,50.78221971911708
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,2,Percent,1993,0.10129727513284724,0.13870295068238905,0.06333612152736841
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,3,Rate,1993,0.46341245561740235,0.6956458393644684,0.2616762465939184
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,1,Number,1993,0.010451779068099706,0.03078394102373709,0.0017431060939092579
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,2,Percent,1993,0.00960984919440186,0.02206502968789607,0.004314377771283293
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,3,Rate,1993,5.385708485955805e-05,0.00015862690104953374,8.98207015353151e-06
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,1,Number,1997,0.005149304632466021,0.02081408059875834,0.0008211745500791293
